,Nama File,true_classes,Predicted_classes
0,loh-78-_JPG.rf.cdba519f351495caba4641786269104c - Copy.jpg,0,0
1,loh-78-_JPG.rf.cdba519f351495caba4641786269104c.jpg,0,0
2,loh-78-_JPG.rf.f2afe9a7e5814f654e7a6fbbbdca9292 - Copy (2).jpg,0,0
3,loh-78-_JPG.rf.f2afe9a7e5814f654e7a6fbbbdca9292 - Copy (3).jpg,0,0
4,loh-78-_JPG.rf.f2afe9a7e5814f654e7a6fbbbdca9292 - Copy.jpg,0,0
5,loh-78-_JPG.rf.f2afe9a7e5814f654e7a6fbbbdca9292.jpg,0,0
6,loh-79-_JPG.rf.155c5c798c489f3af5af6ffbb4f2954e - Copy (2).jpg,0,0
7,loh-79-_JPG.rf.155c5c798c489f3af5af6ffbb4f2954e - Copy (3).jpg,0,0
8,loh-79-_JPG.rf.155c5c798c489f3af5af6ffbb4f2954e - Copy.jpg,0,0
9,loh-79-_JPG.rf.155c5c798c489f3af5af6ffbb4f2954e.jpg,0,0
10,loh-79-_JPG.rf.a4c8058c0d62f58839dedaffc28014e1 - Copy (2).jpg,0,0
11,loh-79-_JPG.rf.a4c8058c0d62f58839dedaffc28014e1 - Copy (3).jpg,0,0
12,loh-79-_JPG.rf.a4c8058c0d62f58839dedaffc28014e1 - Copy.jpg,0,0
13,loh-79-_JPG.rf.a4c8058c0d62f58839dedaffc28014e1.jpg,0,0
14,loh-79-_JPG.rf.c0a29961207e00d62cafc44a0b9602d0 - Copy (2).jpg,0,0
15,loh-79-_JPG.rf.c0a29961207e00d62cafc44a0b9602d0 - Copy (3).jpg,0,0
16,loh-79-_JPG.rf.c0a29961207e00d62cafc44a0b9602d0 - Copy.jpg,0,0
17,loh-79-_JPG.rf.c0a29961207e00d62cafc44a0b9602d0.jpg,0,0
18,loh-80-_JPG.rf.510746c8e81ac6e4c0dc4ec2f9749a3b - Copy (2).jpg,0,0
19,loh-80-_JPG.rf.510746c8e81ac6e4c0dc4ec2f9749a3b - Copy (3).jpg,0,0
20,loh-80-_JPG.rf.510746c8e81ac6e4c0dc4ec2f9749a3b - Copy.jpg,0,0
21,loh-80-_JPG.rf.510746c8e81ac6e4c0dc4ec2f9749a3b.jpg,0,0
22,loh-80-_JPG.rf.7bb73fe8f67dcedad6d82cec36b7b930 - Copy (2).jpg,0,0
23,loh-80-_JPG.rf.7bb73fe8f67dcedad6d82cec36b7b930 - Copy (3).jpg,0,0
24,loh-80-_JPG.rf.7bb73fe8f67dcedad6d82cec36b7b930 - Copy.jpg,0,0
25,loh-80-_JPG.rf.7bb73fe8f67dcedad6d82cec36b7b930.jpg,0,0
26,loh-80-_JPG.rf.93b377b3a21ef6f13030d7ed377fa452 - Copy (2).jpg,0,0
27,loh-80-_JPG.rf.93b377b3a21ef6f13030d7ed377fa452 - Copy (3).jpg,0,0
28,loh-80-_JPG.rf.93b377b3a21ef6f13030d7ed377fa452 - Copy.jpg,0,0
